feature,model,out,mean_abs_impact,feat_shap_corr,feat_shap_spear,feat_shap_corr_org,rank
HFP_b_pt1_cardio,LR,se36_mean_pt1_sleep,0.06838318220165136,0.8545840132301417,0.8737050804494246,0.8545840132301417,25
PC2,LR,se36_mean_pt1_sleep,0.0646692453365684,0.9573402917276692,0.9542898603301287,0.9573402917276692,26
coag_r_fm1_co,LR,se36_mean_pt1_sleep,0.05640641471693098,-0.8681015326202146,-0.9273389439368225,-0.8681015326202146,27
coag_b_fm1_co,LR,se36_mean_pt1_sleep,0.052767349133853086,0.9046884774323188,0.9735560842073052,0.9046884774323188,28
PC8,LR,se36_mean_pt1_sleep,0.05049364116600647,0.8743188241274468,0.9249328178244488,0.8743188241274468,29
PC5,LR,se36_mean_pt1_sleep,0.04847390628647262,-0.6054329240666722,-0.6860547796118266,-0.6054329240666722,30
PC15,LR,se36_mean_pt1_sleep,0.040189172610500055,-0.5841188872453813,-0.5026664248140759,-0.5841188872453813,31
PC12,LR,se36_mean_pt1_sleep,0.03536702332228314,-0.5083876445319173,-0.7112352621077455,-0.5083876445319173,32
PC10,LR,se36_mean_pt1_sleep,0.03312946815235299,,0.1555487030654816,0.11542452516413061,33
PC13,LR,se36_mean_pt1_sleep,0.029471898839071642,-0.3928648615505317,0.24103029203700346,-0.3928648615505317,34
PC20,LR,se36_mean_pt1_sleep,0.02344839027691273,-0.25563504988042396,-0.14934881189914748,-0.25563504988042396,35
PC16,LR,se36_mean_pt1_sleep,0.020034275593076318,-0.319850463512525,-0.6989007799746055,-0.319850463512525,36
PC18,LR,se36_mean_pt1_sleep,0.019048965676710043,-0.42808481705181056,-0.5437910393615092,-0.42808481705181056,37
PC17,LR,se36_mean_pt1_sleep,0.016542625391961968,-0.5757519775776458,-0.4887538545256666,-0.5757519775776458,38
PC11,LR,se36_mean_pt1_sleep,0.014258161735359227,-0.7447921969098223,-0.7801233448213315,-0.7447921969098223,39
